iter	Passed	Remaining
401	14929	3639
402	14967	3602
403	15002	3565
404	15041	3528
405	15079	3491
406	15117	3454
407	15154	3417
408	15190	3379
409	15225	3342
410	15260	3304
411	15297	3267
412	15333	3229
413	15365	3191
414	15402	3154
415	15438	3117
416	15473	3079
417	15507	3042
418	15544	3005
419	15581	2967
420	15616	2930
421	15651	2892
422	15686	2855
423	15722	2818
424	15758	2780
425	15794	2743
426	15829	2706
427	15865	2668
428	15902	2631
429	15939	2594
430	15978	2557
431	16015	2521
432	16050	2483
433	16091	2447
434	16130	2410
435	16174	2374
436	16228	2339
437	16268	2302
438	16310	2266
439	16347	2229
440	16384	2192
441	16425	2155
442	16468	2119
443	16510	2082
444	16551	2045
445	16592	2008
446	16629	1971
447	16669	1934
448	16709	1897
449	16748	1860
450	16787	1823
451	16826	1786
452	16862	1749
453	16897	1712
454	16939	1675
455	16982	1638
456	17024	1601
457	17064	1564
458	17106	1528
459	17147	1491
460	17197	1454
461	17242	1418
462	17287	1381
463	17335	1344
464	17383	1308
465	17428	1271
466	17474	1234
467	17518	1197
468	17560	1160
469	17601	1123
470	17639	1086
471	17687	1049
472	17733	1012
473	17772	974
474	17813	937
475	17849	899
476	17888	862
477	17923	824
478	17962	787
479	17995	749
480	18030	712
481	18066	674
482	18101	637
483	18138	599
484	18176	562
485	18213	524
486	18247	487
487	18286	449
488	18321	412
489	18360	374
490	18396	337
491	18434	299
492	18470	262
493	18508	224
494	18546	187
495	18585	149
496	18620	112
497	18660	74
498	18697	37
499	18732	0
