iter	Logloss
0	0.6240600027
1	0.5672379119
2	0.517568803
3	0.4754658798
4	0.4364679961
5	0.4081140295
6	0.3845379072
7	0.3651787542
8	0.3464377732
9	0.3306902031
10	0.3176033892
11	0.3079170905
12	0.296985895
13	0.287157749
14	0.2786213135
15	0.2715604837
16	0.2640402473
17	0.2562337562
18	0.2494868889
19	0.2438671038
20	0.2395888145
21	0.235288465
22	0.2266667977
23	0.2213106811
24	0.2187811435
25	0.2158696472
26	0.2120827206
27	0.2058436894
28	0.2036990129
29	0.2000166285
30	0.1934370959
31	0.1907644309
32	0.1887394553
33	0.1860143518
34	0.1816518172
35	0.1798639315
36	0.1776439337
37	0.1753954149
38	0.1740710807
39	0.1725733483
40	0.170631894
41	0.169007302
42	0.1665199664
43	0.1640776629
44	0.1631151529
45	0.1593847109
46	0.1579029896
47	0.1567078503
48	0.153647099
49	0.1529341407
50	0.1510627
51	0.1499147624
52	0.1490961729
53	0.1484550953
54	0.1473812344
55	0.1459060319
56	0.1450290309
57	0.1441696187
58	0.1432181438
59	0.1422320612
60	0.1411099243
61	0.1402945963
62	0.1397087916
63	0.138576737
64	0.1378592367
65	0.1345281352
66	0.133485813
67	0.1326985099
68	0.1309883309
69	0.1302913108
70	0.1297504044
71	0.1291413063
72	0.128208836
73	0.1273995418
74	0.124949962
75	0.1244642953
76	0.1237375279
77	0.1233539132
78	0.1227924947
79	0.1209735572
80	0.1203387199
81	0.1191058609
82	0.1185849357
83	0.1180262854
84	0.11766248
85	0.1172154699
86	0.1169589423
87	0.1163361345
88	0.1158762899
89	0.1153680986
90	0.1143811581
91	0.1138324391
92	0.113494916
93	0.1130031495
94	0.1126340275
95	0.1121869204
96	0.111271695
97	0.1109785994
98	0.1101986987
99	0.1090827819
100	0.1086910782
101	0.108316878
102	0.107797994
103	0.1074604726
104	0.1050376811
105	0.104494311
106	0.1033372436
107	0.1030955798
108	0.1021310989
109	0.1011469841
110	0.1007850972
111	0.09939986098
112	0.09918301301
113	0.09885515671
114	0.09808921469
115	0.09778747246
116	0.09733590115
117	0.09710606173
118	0.09617663018
119	0.0952597903
120	0.09493798392
121	0.09480485551
122	0.09450965956
123	0.09418514704
124	0.09394623286
125	0.09372557293
126	0.09356182884
127	0.09327325075
128	0.09309867215
129	0.09284829585
130	0.09245483434
131	0.09206722291
132	0.09175029992
133	0.09160641168
134	0.09086051825
135	0.09069065965
136	0.09053174307
137	0.09016423306
138	0.08986054435
139	0.08967073313
140	0.0894350195
141	0.08932390742
142	0.08914443387
143	0.08891105507
144	0.0887709498
145	0.0885107931
146	0.08838687496
147	0.0882433794
148	0.08802542705
149	0.08770452175
150	0.08751623135
151	0.0873722209
152	0.08721896494
153	0.08681756016
154	0.08659741293
155	0.08634547627
156	0.08620106525
157	0.0859184077
158	0.08574888365
159	0.08547958294
160	0.08534598641
161	0.08507388102
162	0.0849268326
163	0.08473892301
164	0.08428532157
165	0.08394092064
166	0.0837288858
167	0.08358006432
168	0.08294964913
169	0.08280863097
170	0.08264065684
171	0.08250976942
172	0.08225078557
173	0.08206016397
174	0.0816959918
175	0.08155267835
176	0.0814592418
177	0.08090516879
178	0.08079938349
179	0.08036758453
180	0.08019898674
181	0.07995543422
182	0.07978461096
183	0.07963916017
184	0.07945677687
185	0.07935048824
186	0.0792703254
187	0.07898622841
188	0.07885714244
189	0.07878074709
190	0.07859115121
191	0.07817369826
192	0.07794122391
193	0.07779238148
194	0.07758241037
195	0.07747051155
196	0.07740693289
197	0.07731112688
198	0.07722749596
199	0.07712279529
200	0.0770424519
201	0.07694467091
202	0.07682583351
203	0.07673885093
204	0.07667898024
205	0.07656929224
206	0.07650922842
207	0.07641997737
208	0.07629554377
209	0.07621588834
210	0.07604669269
211	0.07586144451
212	0.07577558413
213	0.07570497238
214	0.07561851992
215	0.0753317137
216	0.0750138745
217	0.07492300619
218	0.07471115367
219	0.07465385718
220	0.07456510797
221	0.074344573
222	0.07429334955
223	0.07424671919
224	0.0740567054
225	0.07395810155
226	0.07387359874
227	0.07349816789
228	0.07344241925
229	0.07313104412
230	0.07307426694
231	0.07285085912
232	0.07277178857
233	0.07253742671
234	0.07238961847
235	0.0723276293
236	0.07224185422
237	0.07212715497
238	0.07207307811
239	0.07197474867
240	0.0718922939
241	0.07182315644
242	0.07170668163
243	0.07163612218
244	0.07141952032
245	0.07135247006
246	0.07127221674
247	0.07122639785
248	0.0710420456
249	0.0709776435
250	0.07075000239
251	0.0706882578
252	0.07062619446
253	0.07053285557
254	0.07048354661
255	0.07043118364
256	0.07037633389
257	0.07032029394
258	0.07024064139
259	0.07000214073
260	0.06993915689
261	0.06990125267
262	0.06981817077
263	0.06968985231
264	0.06963155862
265	0.06953203504
266	0.0694301757
267	0.06913247871
268	0.06898040376
269	0.06892428111
270	0.06856055368
271	0.06838614931
272	0.06826341195
273	0.06822202628
274	0.06789362577
275	0.06753773647
276	0.06744542969
277	0.06736661757
278	0.06728835605
279	0.06722335131
280	0.067033176
281	0.06697730053
282	0.0669064968
283	0.06675733453
284	0.06668903491
285	0.06641924298
286	0.06637653612
287	0.06630028714
288	0.06625990058
289	0.06613739442
290	0.06610236604
291	0.06607480201
292	0.0660122086
293	0.06597964504
294	0.06593091577
295	0.06583571721
296	0.06576833423
297	0.06556531415
298	0.06552884554
299	0.0654877221
300	0.0654168075
301	0.0653718655
302	0.06523987868
303	0.06517218607
304	0.06511854178
305	0.06507262168
306	0.06504162849
307	0.065001138
308	0.06496414535
309	0.06466223854
310	0.06461896445
311	0.0645259878
312	0.06447641036
313	0.06442337141
314	0.064268692
315	0.0640376386
316	0.06388767318
317	0.063802901
318	0.06367195981
319	0.06354272087
320	0.0634139099
321	0.06336502016
322	0.06333226126
323	0.06326852804
324	0.06323285709
325	0.06318098565
326	0.06311357639
327	0.06290591596
328	0.06280039482
329	0.06273870911
330	0.06268774386
331	0.0626504179
332	0.06259888677
333	0.0625433858
334	0.06249322723
335	0.06241606868
336	0.06219099444
337	0.06215637316
338	0.06212683979
339	0.062082377
340	0.06195921715
341	0.06190803671
342	0.06184377037
343	0.0618069882
344	0.06173352916
345	0.06168836786
346	0.06165725162
347	0.06153330196
348	0.06150356304
349	0.06146415243
350	0.06140356308
351	0.06133923121
352	0.06122201598
353	0.06116800869
354	0.06106161407
355	0.0610096416
356	0.06091915643
357	0.06086656599
358	0.06081684828
359	0.06077974335
360	0.06074656498
361	0.06068365724
362	0.06063388622
363	0.06059599184
364	0.06054449636
365	0.06048848231
366	0.06040779639
367	0.06026765544
368	0.06015023289
369	0.0600218468
370	0.05996490425
371	0.05993664697
372	0.05990069346
373	0.05986674601
374	0.05983951229
375	0.05979578392
376	0.05975707687
377	0.0597148853
378	0.05969803785
379	0.05965042788
380	0.05960596011
381	0.0595529727
382	0.05937603815
383	0.05934313822
384	0.05929140131
385	0.05919307837
386	0.05911604734
387	0.05909566444
388	0.05905857019
389	0.05901501035
390	0.05899366981
391	0.05896356768
392	0.05893263049
393	0.05889263607
394	0.05885163297
395	0.05878501258
396	0.05866894097
397	0.0586530391
398	0.05862821343
399	0.05858150845
400	0.05855440673
401	0.05852456414
402	0.05848049958
403	0.05845470504
404	0.05841087007
405	0.05831705382
406	0.058288804
407	0.05823496147
408	0.058182427
409	0.05816547672
410	0.05812339325
411	0.05804938152
412	0.0579557392
413	0.05786911981
414	0.05780418414
415	0.05772381606
416	0.05770661373
417	0.05767902408
418	0.05760445203
419	0.05756596138
420	0.05754723232
421	0.05751627501
422	0.05741900936
423	0.05738735999
424	0.05734885422
425	0.05731195634
426	0.05728048421
